.,Number,Week,Date,Top,User,count,online,Log,R8,R1,T,Y
,372,23,05.06.2025,,* Volodymyr Yastrubchak,,,,,,,
,373,24,12.06.2025,,* Oleksandr Belinskyi,,,,,,,
,374,25,19.06.2025,,* Serhii Petrenko,,,,,,,
,375,26,26.06.2025,,* Yuriy Stakhniak,,,,,,,
,376,27,03.07.2025,,* Sergii Bishyr,,,,,,,
,377,28,10.07.2025,,* Jaroslav Mazurak,,,,,,,
,378,29,17.07.2025,,,,,,,,,
,379,30,24.07.2025,,,,,,,,,
,380,31,31.07.2025,,,,,,,,,
,381,32,07.08.2025,Offline event,,,,,,,,
,382,33,14.08.2025,,,,,,,,,
,383,34,21.08.2025,,,,,,,,,
,384,35,28.08.2025,,,,,,,,,
,385,36,04.09.2025,,,,,,,,,
,386,37,11.09.2025,,,,,,,,,
,387,38,18.09.2025,java 25 lts,Oleh Melnyk,,,,,,,
,388,39,25.09.2025,,,,,,,,,
,389,40,02.10.2025,,,,,,,,,
,390,41,09.10.2025,,,,,,,,,
,391,42,16.10.2025,,,,,,,,,
,392,43,23.10.2025,,,,,,,,,
,393,44,30.10.2025,,,,,,,,,
,394,45,06.11.2025,Offline event,,,,,,,,
,395,46,13.11.2025,,,,,,,,,
,396,47,20.11.2025,,,,,,,,,
,397,48,27.11.2025,,,,,,,,,
,398,49,04.12.2025,,,,,,,,,
,399,50,11.12.2025,,,,,,,,,
,400,51,18.12.2025,,Ihor Banadiga,,,,,,,
,,52,25.12.2025,Day off,,,,,,,,
,,1,01.01.2026,Day off,,,,,,,,
,,2,08.01.2026,Day off,,,,,,,,
,400,3,15.01.2026,,,,,,,,,
,401,4,22.01.2026,,,,,,,,,
,402,5,29.01.2026,,,,,,,,,
,403,6,05.02.2026,,,,,,,,,
,404,7,12.02.2026,,,,,,,,,
,405,8,19.02.2026,,,,,,,,,
,406,9,26.02.2026,,,,,,,,,
,407,10,05.03.2026,JavaClub 8 year (Offline event),,,,,,,,
,408,11,12.03.2026,,,,,,,,,
,409,12,19.03.2026,java 26,Oleh Melnyk,,,,,,,
,410,13,26.03.2026,,,,,,,,,
,411,14,02.04.2026,,,,,,,,,
,412,15,09.04.2026,,,,,,,,,
,413,16,16.04.2026,,,,,,,,,
,414,17,23.04.2026,,,,,,,,,
,415,18,30.04.2026,,,,,,,,,
,416,19,07.05.2026,Offline event,,,,,,,,
,417,20,14.05.2026,,,,,,,,,
,418,21,21.05.2026,,,,,,,,,
,419,22,28.05.2026,,,,,,,,,
,420,23,04.06.2026,,,,,,,,,
,421,24,11.06.2026,,,,,,,,,
,422,25,18.06.2026,,,,,,,,,
,423,26,25.06.2026,,,,,,,,,
,424,27,02.07.2026,,,,,,,,,
,425,28,09.07.2026,,,,,,,,,
,426,29,16.07.2026,,,,,,,,,
,427,30,23.07.2026,,,,,,,,,
,428,31,30.07.2026,,,,,,,,,
,429,32,06.08.2026,Offline event,,,,,,,,
,430,33,13.08.2026,,,,,,,,,
,431,34,20.08.2026,,,,,,,,,
,432,35,27.08.2026,,,,,,,,,
,433,36,03.09.2026,,,,,,,,,
,434,37,10.09.2026,,,,,,,,,
,435,38,17.09.2026,java 27,Oleh Melnyk,,,,,,,
,436,39,24.09.2026,,,,,,,,,
,,40,01.10.2026,Day off,,,,,,,,
,437,41,08.10.2026,,,,,,,,,
,438,42,15.10.2026,,,,,,,,,
,439,43,22.10.2026,,,,,,,,,
,440,44,29.10.2026,,,,,,,,,
,441,45,05.11.2026,Offline event,,,,,,,,
,442,46,12.11.2026,,,,,,,,,
,443,47,19.11.2026,,,,,,,,,
,444,48,26.11.2026,,,,,,,,,
,445,49,03.12.2026,,,,,,,,,
,446,50,10.12.2026,,,,,,,,,
,447,51,17.12.2026,,,,,,,,,
,,52,24.12.2026,Day off,,,,,,,,
,,53,31.12.2026,Day off,,,,,,,,
,,1,07.01.2027,Day off,,,,,,,,
,449,2,14.01.2027,,,,,,,,,
,450,3,21.01.2027,,,,,,,,,
